"","sl","sw","pl","pw","s"
"101",6.3,3.3,6,2.5,"virginica"
"116",6.4,3.2,5.3,2.3,"virginica"
"120",6,2.2,5,1.5,"virginica"
"28",5.2,3.5,1.5,0.2,"setosa"
"83",5.8,2.7,3.9,1.2,"versicolor"
"108",7.3,2.9,6.3,1.8,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"22",5.1,3.7,1.5,0.4,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"129",6.4,2.8,5.6,2.1,"virginica"
"135",6.1,2.6,5.6,1.4,"virginica"
"123",7.7,2.8,6.7,2,"virginica"
"72",6.1,2.8,4,1.3,"versicolor"
"81",5.5,2.4,3.8,1.1,"versicolor"
"45",5.1,3.8,1.9,0.4,"setosa"
"84",6,2.7,5.1,1.6,"versicolor"
"140",6.9,3.1,5.4,2.1,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"36",5,3.2,1.2,0.2,"setosa"
"143",5.8,2.7,5.1,1.9,"virginica"
"89",5.6,3,4.1,1.3,"versicolor"
"109",6.7,2.5,5.8,1.8,"virginica"
"144",6.8,3.2,5.9,2.3,"virginica"
"5",5,3.6,1.4,0.2,"setosa"
"61",5,2,3.5,1,"versicolor"
"11",5.4,3.7,1.5,0.2,"setosa"
"62",5.9,3,4.2,1.5,"versicolor"
"102",5.8,2.7,5.1,1.9,"virginica"
"133",6.4,2.8,5.6,2.2,"virginica"
"8",5,3.4,1.5,0.2,"setosa"
"59",6.6,2.9,4.6,1.3,"versicolor"
"91",5.5,2.6,4.4,1.2,"versicolor"
"43",4.4,3.2,1.3,0.2,"setosa"
"93",5.8,2.6,4,1.2,"versicolor"
"139",6,3,4.8,1.8,"virginica"
"111",6.5,3.2,5.1,2,"virginica"
"96",5.7,3,4.2,1.2,"versicolor"
"73",6.3,2.5,4.9,1.5,"versicolor"
"68",5.8,2.7,4.1,1,"versicolor"
"26",5,3,1.6,0.2,"setosa"
"47",5.1,3.8,1.6,0.2,"setosa"
"27",5,3.4,1.6,0.4,"setosa"
"56",5.7,2.8,4.5,1.3,"versicolor"
"25",4.8,3.4,1.9,0.2,"setosa"
"52",6.4,3.2,4.5,1.5,"versicolor"
"58",4.9,2.4,3.3,1,"versicolor"
"113",6.8,3,5.5,2.1,"virginica"
"67",5.6,3,4.5,1.5,"versicolor"
"128",6.1,3,4.9,1.8,"virginica"
"110",7.2,3.6,6.1,2.5,"virginica"
"42",4.5,2.3,1.3,0.3,"setosa"
"103",7.1,3,5.9,2.1,"virginica"
"50",5,3.3,1.4,0.2,"setosa"
"40",5.1,3.4,1.5,0.2,"setosa"
"7",4.6,3.4,1.4,0.3,"setosa"
"60",5.2,2.7,3.9,1.4,"versicolor"
"138",6.4,3.1,5.5,1.8,"virginica"
"94",5,2.3,3.3,1,"versicolor"
"2",4.9,3,1.4,0.2,"setosa"
"92",6.1,3,4.6,1.4,"versicolor"
"136",7.7,3,6.1,2.3,"virginica"
"38",4.9,3.6,1.4,0.1,"setosa"
"39",4.4,3,1.3,0.2,"setosa"
"100",5.7,2.8,4.1,1.3,"versicolor"
"130",7.2,3,5.8,1.6,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
"15",5.8,4,1.2,0.2,"setosa"
"46",4.8,3,1.4,0.3,"setosa"
"131",7.4,2.8,6.1,1.9,"virginica"
"41",5,3.5,1.3,0.3,"setosa"
"141",6.7,3.1,5.6,2.4,"virginica"
"77",6.8,2.8,4.8,1.4,"versicolor"
"106",7.6,3,6.6,2.1,"virginica"
"75",6.4,2.9,4.3,1.3,"versicolor"
"82",5.5,2.4,3.7,1,"versicolor"
"20",5.1,3.8,1.5,0.3,"setosa"
"121",6.9,3.2,5.7,2.3,"virginica"
"119",7.7,2.6,6.9,2.3,"virginica"
"104",6.3,2.9,5.6,1.8,"virginica"
"74",6.1,2.8,4.7,1.2,"versicolor"
"69",6.2,2.2,4.5,1.5,"versicolor"
"51",7,3.2,4.7,1.4,"versicolor"
"48",4.6,3.2,1.4,0.2,"setosa"
"134",6.3,2.8,5.1,1.5,"virginica"
"63",6,2.2,4,1,"versicolor"
"13",4.8,3,1.4,0.1,"setosa"
"53",6.9,3.1,4.9,1.5,"versicolor"
"10",4.9,3.1,1.5,0.1,"setosa"
"85",5.4,3,4.5,1.5,"versicolor"
"32",5.4,3.4,1.5,0.4,"setosa"
"115",5.8,2.8,5.1,2.4,"virginica"
"35",4.9,3.1,1.5,0.2,"setosa"
"37",5.5,3.5,1.3,0.2,"setosa"
"114",5.7,2.5,5,2,"virginica"
"98",6.2,2.9,4.3,1.3,"versicolor"
"145",6.7,3.3,5.7,2.5,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"21",5.4,3.4,1.7,0.2,"setosa"
"122",5.6,2.8,4.9,2,"virginica"
"137",6.3,3.4,5.6,2.4,"virginica"
"70",5.6,2.5,3.9,1.1,"versicolor"
"34",5.5,4.2,1.4,0.2,"setosa"
"99",5.1,2.5,3,1.1,"versicolor"
"107",4.9,2.5,4.5,1.7,"virginica"
"147",6.3,2.5,5,1.9,"virginica"
"54",5.5,2.3,4,1.3,"versicolor"
"78",6.7,3,5,1.7,"versicolor"
"33",5.2,4.1,1.5,0.1,"setosa"
"1",5.1,3.5,1.4,0.2,"setosa"
"112",6.4,2.7,5.3,1.9,"virginica"
"76",6.6,3,4.4,1.4,"versicolor"
"19",5.7,3.8,1.7,0.3,"setosa"
"132",7.9,3.8,6.4,2,"virginica"
"4",4.6,3.1,1.5,0.2,"setosa"
"12",4.8,3.4,1.6,0.2,"setosa"
"66",6.7,3.1,4.4,1.4,"versicolor"
"49",5.3,3.7,1.5,0.2,"setosa"
"55",6.5,2.8,4.6,1.5,"versicolor"
"9",4.4,2.9,1.4,0.2,"setosa"
"88",6.3,2.3,4.4,1.3,"versicolor"
"86",6,3.4,4.5,1.6,"versicolor"
"18",5.1,3.5,1.4,0.3,"setosa"
"3",4.7,3.2,1.3,0.2,"setosa"
"31",4.8,3.1,1.6,0.2,"setosa"
"17",5.4,3.9,1.3,0.4,"setosa"
"118",7.7,3.8,6.7,2.2,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
